country,title,sku,reg_pr,act_pr,brand,sticker,cat_1,cat_2,cat_3,url
DE,Sonnenbrille Wandern MH500 Erwachsene Kategorie 3 schwarz,8559273,"9,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh500-erwachsene-kategorie-3-schwarz/_/R-p-311973?mc=8559273&c=SCHWARZ
DE,Wanderjacke Bergwandern MH100 Wasserdicht Damen grau meliert,8492378,"39,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wanderjacke-mh100-damen/_/R-p-172374?mc=8492378&c=GRAU
DE,Sonnenbrille Bergwandern MH160 Erwachsene Kategorie 3 pink,8604151,"14,99€","6,99€",QUECHUA,0,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh160-erwachsene-kategorie-3/_/R-p-324473?mc=8604151&c=ROSA
DE,Wandershirt Bergwandern MH100 Kurzarm Damen türkis ,8493465,"4,99€","3,99€",QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandershirt-bergwandern-mh100-kurzarm-damen/_/R-p-172246?mc=8493465&c=BLAU_TÜRKIS
DE,Wandersocken Hike 50 halbhoch 2 Paar grau,8649533,"3,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/wandersocken-hike-50-halbhoch-2-paar/_/R-p-334394?mc=8649533&c=GRAU
DE,Sonnenbrille Wandern MH530 Kategorie 3 Erwachsene schwarz/grün,8581422,"19,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh530-kategorie-3-erwachsene/_/R-p-324410?mc=8581422&c=SCHWARZ
DE,Schirmmütze Trekking MT500 belüftet grau ,8493097,"5,99€",,FORCLAZ,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/schirmmutze-trekking-mt500-beluftet/_/R-p-183271?mc=8493097&c=GRAU
DE,Umstandshose Wandern Schwangerschaftshose Damen schwarz ,8666962,"19,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/umstandshose-wandern-schwangerschaftshose-damen/_/R-p-335350?mc=8666962&c=SCHWARZ
DE,Hybrid-Sweatshirtjacke Naturwandern NH100 Damen grau,8503183,"24,99€",,QUECHUA,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/hybrid-sweatshirtjacke-naturwandern-nh100-damen/_/R-p-12089?mc=8503183&c=GRAU
DE,Sonnenbrille Sportbrille MH140 Erwachsene Kategorie 3 khaki,8501374,"14,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-wandern-mh140-kategorie-3-erwachseneschwarz/_/R-p-301163?mc=8501374&c=BLAU
DE,Sonnenbrille MH570 Wandern polarisierend Kategorie 4 Erwachsene schwarz/rot,864164,"34,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/sonnenbrille-sportbrille-skiing-700-kat-4-polarisierend/_/R-p-150572?mc=864164&c=SCHWARZ
DE,Softshellweste Trekking Trek 500 Damen dunkelblau,8550541,"34,99€",,FORCLAZ,ECODESIGN,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/softshellweste-trekking-trek-500-damen-dunkelblau/_/R-p-306968?mc=8550541&c=BLAU
DE,Fleecejacke Bergwandern MH900 leicht Damen grün,8492857,"29,99€",,QUECHUA,,Damen,Sportbekleidung, Wandern   ,https://www.decathlon.de/p/fleecejacke-bergwandern-mh900-damen/_/R-p-176478?mc=8492857&c=GRÜN
